otomoto_id,title,subtitle,href,year,mileage,engine,fuel_type,price,price_currency,price_details,location_city,location_region
6002292053,"Mercedes-Benz CLA","4Matic 2.0 T 211 km ! Pali / Jezdzi",https://www.otomoto.pl/oferta/mercedes-benz-cla-4matic-2-0-t-211-km-pali-jezdzi-ID6yd0m9.html#3645cad813,2015,89000,20003,Benzyna,44900,PLN,"","Nawojowa",Małopolskie
6077485536,"Mercedes-Benz CLA","AMG __ Burmester ___ NIGHT pakiet ___ FULL LED!",https://www.otomoto.pl/oferta/mercedes-benz-cla-amg-burmester-night-pakiet-full-led-ID6DiwCg.html#3645cad813,2019,8640,13323,Benzyna,111000,PLN,"","Szamotuły",Wielkopolskie
6076951919,"Mercedes-Benz CLA AMG","45 AMG 4MATIC salon Polska Bezwypadkowy R Cars Warszawa",https://www.otomoto.pl/oferta/mercedes-benz-cla-45-amg-4matic-salon-polska-bezwypadkowy-r-cars-warszawa-ID6DggNx.html#3645cad813,2016,99000,19913,Benzyna,134900,PLN,"","Warszawa",Mazowieckie
6077788379,"Mercedes-Benz CLA","Automat , Skora , Kam cofania , Pakiet AMG , Polecam !!",https://www.otomoto.pl/oferta/mercedes-benz-cla-automat-skora-kam-cofania-pakiet-amg-polecam-ID6DjMoP.html#3645cad813,2018,24231,19913,Benzyna,106900,PLN,"","Kościerzyna",Pomorskie
6077484436,"Mercedes-Benz CLA 220","220 4Matic AMG/Distronic/Hak/MBUX/LED/Navi/",https://www.otomoto.pl/oferta/mercedes-benz-cla-220-4matic-amg-distronic-hak-mbux-led-navi-ID6Diwkv.html#3645cad813,2019,9400,19913,Benzyna,189900,PLN,"Faktura VAT","Straszyn",Pomorskie
6068334540,"Mercedes-Benz CLA","1.6 Pb 122 KM URBAN Automat Półskóry Salon Polska Zamiana Bez BIG",https://www.otomoto.pl/oferta/mercedes-benz-cla-1-6-pb-122-km-urban-automat-polskory-salon-polska-zamiana-bez-big-ID6CG71y.html#3645cad813,2019,11000,15603,Benzyna,114999,PLN,"Do negocjacji","Ustowo",Zachodniopomorskie
6077787225,"Mercedes-Benz CLA 250","Mercedes Cla 250 AMG 4 Matic Sport Jak nowy !!!",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-cla-250-amg-4-matic-sport-jak-nowy-ID6DjM6d.html#3645cad813,2017,27000,19913,Benzyna,93000,PLN,"Do negocjacji","Warszawa",Mazowieckie
6075338880,"Mercedes-Benz CLA","CLA 200*7 GTronic*Urban*Led*Navi*2xKamera*Alu*2xPdc*Fvat23%*Gwarancja",https://www.otomoto.pl/oferta/mercedes-benz-cla-cla-2007-gtronicurbanlednavi2xkameraalu2xpdcfvat23-gwarancja-ID6D9waM.html#3645cad813,2019,15000,22003,Diesel,95800,PLN,"Do negocjacji, Faktura VAT","Gniezno",Wielkopolskie
6077382111,"Mercedes-Benz CLA","CLA 200, salon PL, F23%, od dealera",https://www.otomoto.pl/oferta/mercedes-benz-cla-cla-200-salon-pl-f23-od-dealera-ID6Di4I7.html#3645cad813,2017,114568,,Benzyna,104900,PLN,"Faktura VAT","Janki",Mazowieckie
6064841184,"Mercedes-Benz CLA","AMG 45 !!! 4 Matic !!! Salon polski !!!",https://www.otomoto.pl/oferta/mercedes-benz-cla-amg-45-4-matic-salon-polski-ID6Crsf6.html#3645cad813,2016,53894,20003,Benzyna,116000,PLN,"","Szamotuły",Wielkopolskie
6077786135,"Mercedes-Benz CLA 200","I właściciel, z salonu, pakiet AMG, FV23%, ASO, bezwypadkowy.",https://www.otomoto.pl/oferta/mercedes-benz-cla-i-wlasciciel-z-salonu-pakiet-amg-fv23-aso-bezwypadkowy-ID6DjLOD.html#3645cad813,2016,149000,15953,Benzyna,89000,PLN,"Do negocjacji, Faktura VAT","Radom",Mazowieckie
6077922308,"Mercedes-Benz CLA","1.3 CLA200 (163KM) LINIA AMG | Premium Plus + Pakiet Night + Panorama",https://www.otomoto.pl/oferta/mercedes-benz-cla-1-3-cla200-163km-linia-amg-premium-plus-pakiet-night-panorama-ID6DkleY.html#3645cad813,2020,1,13323,Benzyna,181900,PLN,"Faktura VAT","Chorzów",Śląskie
6077986601,"Mercedes-Benz CLA","Mercedes",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-ID6DkBXX.html#40e37d35ad,2015,105649,15953,Benzyna,65000,PLN,"","Szczecin",Zachodniopomorskie
6072611838,"Mercedes-Benz CLA","2.0 BI TURBO,Krajowy,Bezwypadkowy,100 % Igła",https://www.otomoto.pl/oferta/mercedes-benz-cla-2-0-bi-turbo-krajowy-bezwypadkowy-100-igla-ID6CY3Ke.html#40e37d35ad,2014,41057,19913,Benzyna,129999,PLN,"","Katowice",Śląskie
6075013185,"Mercedes-Benz CLA 180","Mercedes Benz CLA tylko cesja leasingu rata 1429 brutto",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-benz-cla-tylko-cesja-leasingu-rata-1429-brutto-ID6D88rD.html#40e37d35ad,2018,66000,15953,Benzyna,97000,PLN,"","Warszawa",Mazowieckie
6077921367,"Mercedes-Benz CLA","1.3 (163KM) | AMG | + Pakiet Premium Plus + Night",https://www.otomoto.pl/oferta/mercedes-benz-cla-1-3-163km-amg-pakiet-premium-plus-night-ID6DkkZN.html#40e37d35ad,2020,1,13323,Benzyna,170000,PLN,"Faktura VAT","Chorzów",Śląskie
6077480645,"Mercedes-Benz CLA 220","MERCEDES 220Cdi 4matic 2016r",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-220cdi-4matic-2016r-ID6Diuln.html#40e37d35ad,2016,14500,21433,Diesel,33000,PLN,"","Warszawa",Mazowieckie
6078131729,"Mercedes-Benz CLA 180","Dostępny od Ręki, Linia Progressive",https://www.otomoto.pl/oferta/mercedes-benz-cla-dostepny-od-reki-linia-progressive-ID6DldIJ.html#40e37d35ad,2020,12,13323,Benzyna,139900,PLN,"Faktura VAT","Radlin",Śląskie
6075225838,"Mercedes-Benz CLA 200","CLA 200 Shooting Brake /Pakiet AMG/ Oświetlenie ambient/ SALON PL",https://www.otomoto.pl/oferta/mercedes-benz-cla-cla-200-shooting-brake-pakiet-amg-oswietlenie-ambient-salon-pl-ID6D91Lv.html#40e37d35ad,2020,5100,13323,Benzyna,162700,PLN,"Do negocjacji, Faktura VAT","Kraków",Małopolskie
