otomoto_id,title,subtitle,href,year,mileage,engine,fuel_type,price,price_currency,price_details,location_city,location_region
6077801365,"Suzuki SX4 1.6","1.6 BENZYNA 4x4 / oryginalny lakier / grzane fotele / 2x kluczyk",https://www.otomoto.pl/oferta/suzuki-sx4-1-6-benzyna-4x4-oryginalny-lakier-grzane-fotele-2x-kluczyk-ID6DjPMh.html#27d67a5b87,2006,223887,15863,Benzyna,16800,PLN,"Do negocjacji","Chrzanów",Małopolskie
6077501686,"Suzuki SX4 1.6","LIFT 1.6 16V / I właśc. / Pod. fotele / KeylessGO / ALU / Gwarancja",https://www.otomoto.pl/oferta/suzuki-sx4-lift-1-6-16v-i-wlasc-pod-fotele-keylessgo-alu-gwarancja-ID6DizOK.html#27d67a5b87,2009,164000,15863,Benzyna,23999,PLN,"","Łask",Łódzkie
6076421588,"Suzuki SX4 2.0","2.0DDiS+135PS+Klimatro+Navi+Alu+Gwarancja+Opłacony",https://www.otomoto.pl/oferta/suzuki-sx4-2-0ddis-135ps-klimatro-navi-alu-gwarancja-oplacony-ID6De2PO.html#27d67a5b87,2013,124241,19563,Diesel,27900,PLN,"Do negocjacji","Gniezno",Wielkopolskie
6069779574,"Suzuki SX4","S-Cross 4x4 1.6 120KM Krajowy Serwisowany F-VAT23%",https://www.otomoto.pl/oferta/suzuki-sx4-s-cross-4x4-1-6-120km-krajowy-serwisowany-f-vat23-ID6CMaVy.html#27d67a5b87,2016,120749,15863,Benzyna,54900,PLN,"Faktura VAT","Bielsko-Biała",Śląskie
6074838269,"Suzuki SX4","1.6 107KM, klima, podgrzewane fotele, pełna elektryka, bezwypadkowy",https://www.otomoto.pl/oferta/suzuki-sx4-1-6-107km-klima-podgrzewane-fotele-pelna-elektryka-bezwypadkowy-ID6D7oVp.html#27d67a5b87,2009,137400,16003,Benzyna,16990,PLN,"","Mońki",Podlaskie
6074166452,"Suzuki SX4 1.6","1.6 benz, gwarancja, 92 tys przebieg, Outdoor ASO, stan ideał!",https://www.otomoto.pl/oferta/suzuki-sx4-1-6-benz-gwarancja-92-tys-przebieg-outdoor-aso-stan-ideal-ID6D4AaE.html#27d67a5b87,2008,92000,15863,Benzyna,23500,PLN,"Do negocjacji","Kraków",Małopolskie
6074122153,"Suzuki SX4 1.6","1.5 benz, \"Outdoor\", bogata wersja, gwarancja, ASO do końca, ideał!",https://www.otomoto.pl/oferta/suzuki-sx4-1-5-benz-outdoor-bogata-wersja-gwarancja-aso-do-konca-ideal-ID6D4oE9.html#27d67a5b87,2011,133000,15863,Benzyna,26900,PLN,"Do negocjacji","Kraków",Małopolskie
6056034603,"Suzuki SX4","1,6 16V,Opłacony Faktura, Klimatyzacja,Bardzo Zadbany, Grzane Fotele,",https://www.otomoto.pl/oferta/suzuki-sx4-1-6-16v-oplacony-faktura-klimatyzacja-bardzo-zadbany-grzane-fotele-ID6BQwft.html#27d67a5b87,2008,175000,15863,Benzyna,12999,PLN,"Do negocjacji","Rakoniewice",Wielkopolskie
6074482919,"Suzuki SX4","1,9 Ddis",https://www.otomoto.pl/oferta/suzuki-sx4-1-9-ddis-ID6D5UuX.html#27d67a5b87,2006,214000,19103,Diesel,15900,PLN,"Do negocjacji","Bełchatów",Łódzkie
6076681805,"Suzuki SX4","1.9 DIESEL // 168.999 km // GWARANCJA // Polecam",https://www.otomoto.pl/oferta/suzuki-sx4-1-9-diesel-168-999-km-gwarancja-polecam-ID6Df8vR.html#27d67a5b87,2008,168000,19103,Diesel,12400,PLN,"Do negocjacji","Przysucha",Mazowieckie
6077491026,"Suzuki SX4","1.6 Serwis w ASO ! ! ! Klimatronik Alu Oplacony",https://www.otomoto.pl/oferta/suzuki-sx4-1-6-serwis-w-aso-klimatronik-alu-oplacony-ID6Dix2O.html#27d67a5b87,2009,98000,15863,Benzyna,23900,PLN,"","Kraków",Małopolskie
6074149052,"Suzuki SX4 I","LIFT 1.6 BENZ 2011r. Netto 20tys.zł ZAREJESTR 4X4 Polski Salon Zamiana",https://www.otomoto.pl/oferta/suzuki-sx4-lift-1-6-benz-2011r-netto-20tys-zl-zarejestr-4x4-polski-salon-zamiana-ID6D4wE0.html#eef0fde274,2010,218500,15863,Benzyna,21100,PLN,"Faktura VAT","Bolesławiec",Dolnośląskie
6075012596,"Suzuki SX4","1.6benz 4x4 Bezwypadkowy 1 wł",https://www.otomoto.pl/oferta/suzuki-sx4-1-6benz-4x4-bezwypadkowy-1-wl-ID6D88i8.html#eef0fde274,2009,146000,15983,Benzyna,21900,PLN,"Do negocjacji","Koszalin",Zachodniopomorskie
6077487772,"Suzuki SX4 1.6","Zadbany Egzemplarz _Klima**ZAMIANA",https://www.otomoto.pl/oferta/suzuki-sx4-zadbany-egzemplarz-klimazamiana-ID6Divck.html#eef0fde274,2010,218000,15603,Diesel,16900,PLN,"Do negocjacji","Płock",Mazowieckie
6076114189,"Suzuki SX4 1.6",",,, Sx4 oryginał,,",https://www.otomoto.pl/oferta/suzuki-sx4-sx4-oryginal-ID6DcKRL.html#eef0fde274,2009,138000,15863,Benzyna+LPG,24500,PLN,"Do negocjacji","Proszowice",Małopolskie
